corpus,file,extension,size_bytes,entropy_bits_per_byte
D1,Capture d'écran 2026-05-04 103202.png,.png,753150,7.9867
D1,Capture d'écran 2026-05-04 103252.png,.png,593637,7.9813
D1,Capture d'écran 2026-06-01 124909.png,.png,10031,7.9602
D1,Capture d'écran 2026-06-20 134034.png,.png,84090,7.7158
D1,Capture d'écran 2026-06-20 134123.png,.png,84242,7.7118
D1,Capture d'écran 2026-06-22 054458.png,.png,9019,7.8132
D1,Capture d'écran 2026-06-22 063804.png,.png,28545,7.8924
D1,Capture d'écran 2026-06-24 054518.png,.png,41037,7.9751
D1,Capture d'écran 2026-06-24 062150.png,.png,23582,7.981
D1,Capture d'écran 2026-07-05 005202.png,.png,50324,7.6458
D1,Capture d'écran 2026-07-29 081828.png,.png,84848,7.9739
D1,Capture d'écran 2026-07-31 143945.png,.png,35398,7.9353
D1,Capture d'écran 2026-08-06 230209.png,.png,35726,7.805
D1,Capture d'écran 2026-08-09 143531.png,.png,190042,7.9601
D1,Capture d'écran 2026-08-09 214500.png,.png,186672,7.9605
D1,Capture d'écran 2026-08-09 215518.png,.png,366959,7.9456
D1,Capture d'écran 2026-08-09 215613.png,.png,164859,7.9659
D1,Capture d'écran 2026-08-09 220431.png,.png,371241,7.9572
D1,Capture d'écran 2026-08-09 220507.png,.png,375695,7.9595
D1,Capture d'écran 2026-08-11 090700.png,.png,56576,7.9078
D1,Capture d'écran 2026-08-11 145050.png,.png,126817,7.9099
D1,Capture d'écran 2026-08-11 145445.png,.png,74175,7.9175
D1,Capture d'écran 2026-08-11 150454.png,.png,95281,7.9329
D1,Capture d’écran 2024-08-12 102837.png,.png,50673,7.9337
D1,Capture d’écran 2024-08-12 102928.png,.png,92144,7.9159
D1,Capture d’écran 2025-02-27 152745.png,.png,473356,7.9845
D1,Capture d’écran 2025-03-17 125536.png,.png,119281,7.99
D1,Capture d’écran 2025-03-17 134247.png,.png,76227,7.9828
D1,Capture d’écran 2025-03-17 140501.png,.png,114040,7.9861
D1,Capture d’écran 2025-03-17 155531.png,.png,43562,7.9836
D1,Capture d’écran 2025-03-17 161120.png,.png,115773,7.9764
D1,Capture d’écran 2025-03-17 162450.png,.png,32918,7.951
D1,Capture d’écran 2025-03-19 143750.png,.png,439668,7.9732
D1,Capture d’écran 2025-03-19 152217.png,.png,112892,7.9867
D1,Capture d’écran 2025-03-20 151737.png,.png,19690,7.9045
D1,Capture d’écran 2025-03-21 115451.png,.png,74726,7.965
D1,Capture d’écran 2025-04-12 145227.png,.png,166543,7.9752
D1,Capture d’écran 2025-05-04 114924.png,.png,26500,7.8143
D1,Capture d’écran 2025-05-07 224022.png,.png,73066,7.9568
D1,Capture d’écran 2025-05-09 062705.png,.png,74066,7.948
D1,Capture d’écran 2025-05-23 102433.png,.png,46383,7.9753
D1,Capture d’écran 2025-05-30 070626.png,.png,60205,7.9657
D1,Capture d’écran 2025-06-06 124843.png,.png,30843,7.9575
D1,Capture d’écran 2025-07-16 211735.png,.png,44211,7.9176
D1,Capture d’écran 2025-07-28 224419.png,.png,13098,7.8641
D1,Capture d’écran 2025-07-28 224456.png,.png,20160,7.9162
D1,Capture.PNG,.png,27138,7.8118
D1,Capture220725.png,.png,41148,7.9377
D1,carine.PNG,.png,209110,7.9836
D1,carine2.png,.png,937565,7.9806
D1,carine3.png,.png,597335,7.9682
D1,cartes.PNG,.png,477505,7.9646
D1,caùera.PNG,.png,37278,7.9701
D1,CBS.log,.log,4738723,4.8561
D1,CbsPersist_20260808194954.log,.log,16957171,4.8806
D1,CbsPersist_20260811131604.log,.log,15937627,4.9734
D1,CHAP1.png,.png,113214,7.8685
D1,chiffre.PNG,.png,75072,7.9722
